song_id;artist_name;song_name;danceability;energy;loudness;mode;speechness;acousticness;instrumentalness;liveness;tempo;duration;genre
1;AFI;Affliction;0.431;0.985;-4.556;1;0.191;0.000246;0.00637;0.103;93.337;66067;hardcorepunk
2;Blink-182;All Of This;0.563;0.959;-4.981;0;0.0728;0.000158;0.00053;0.0728;152.004;235400;torontoindie
3;George Michael;Amazing;0.586;0.563;-8.284;1;0.0644;0.235;0.0549;0.0654;146.101;238333;substep
4;Aerosmith;Angel;0.682;0.947;-6.895;0;0.0497;0.00201;0.757;0.0348;120.998;170579;deepchill-out
5;Roger Williams;Around The World;0.698;0.969;-4.201;1;0.0304;0.00211;0.000257;0.339;129.953;208733;canadianpop
6;Annie Lennox;A Whiter Shade Of Pale;0.249;0.66;-6.905;1;0.0342;0.504;0.0026;0.0891;149.813;248947;zeuhl
7;Alice Cooper;Be My Lover;0.352;0.905;-3.792;1;0.0836;0.000895;0.218;0.181;141.016;254013;swedishsoul
8;Casual;Bailando;0.647;0.94;-8.759;1;0.0394;0.0836;0.00962;0.119;132.824;229333;belgianpop
9;Christina Aguilera;Beautiful;0.592;0.653;-7.757;1;0.0413;0.45;0.000000;0.19;90.015;208187;africangospel
10;Toni Braxton;Best Friend;0.534;0.622;-12.468;1;0.0418;0.000883;0.00298;0.0564;166.7;183067;russianpunk
11;Beyonce;Be With You;0.918;0.834;-4.561;1;0.0562;0.0177;0.865;0.132;122.983;190737;experimentalhouse
12;Suzi Quatro;Born To Run;0.279;0.871;-7.599;1;0.072;0.00371;0.00000162;0.143;146.812;270560;go-go
13;DJ Spinn;Bounce Back;0.77;0.567;-5.698;1;0.175;0.105;0.000000;0.125;81.477;222360;bmore
14;Britney Spears;Break The Ice;0.712;0.911;-3.866;0;0.0445;0.689;0.00000802;0.107;117.533;196053;mathpop
15;Johnny Osbourne;Come ALong;0.645;0.787;-4.707;0;0.0274;0.0641;0.513;0.341;84.116;223733;swedishindiepop
16;Deborah Coleman;Confused;0.663;0.845;-7.171;0;0.0266;0.0433;0.02;0.11;114.043;234160;swedishsynthpop
17;Arctic Monkeys;Dancing Shoes;0.522;0.889;-4.137;1;0.0461;0.00328;0.000000;0.345;144.499;141133;gabba
18;The Clash;Death Or Glory;0.563;0.212;-17.459;1;0.0639;0.982;0.979;0.0891;62.628;133000;britishbrassband
19;Fuzz;De pie;0.531;0.581;-11.948;1;0.0311;0.0486;0.182;0.103;145.075;255747;panamanianrock
20;30 Seconds To Mars;End Of The Beginning;0.175;0.385;-12.97;1;0.0396;0.451;0.542;0.101;175.642;706400;metalguitar
21;Babylon Disco;Error;0.372;0.977;-3.156;0;0.144;0.000588;0.000000;0.209;99.418;212413;japanesedeathmetal
22;Korn;Ever Be;0.494;0.48;-13.685;1;0.0314;0.106;0.862;0.11;153.937;276669;ambientworship
23;Freddie King;Five Long Years;0.568;0.877;-9.506;1;0.0339;0.12;0.000168;0.0874;137.311;278173;canadianrock
24;Kings Of Leon;Genius;0.622;0.621;-4.924;0;0.129;0.0864;0.000098;0.121;158.946;213040;mathpop
25;Beastie Boys;Get It Together;0.566;0.938;-4.568;1;0.0684;0.0138;0.067;0.0555;96.876;208453;portugueseindie
26;Prozak;Go To Hell;0.51;0.909;-3.34;1;0.049;0.00385;0.000479;0.12;110.022;259373;raregroove
27;Akon;Gun Shot;0.703;0.636;-6.333;0;0.039;0.585;0.00000977;0.0835;134.854;199810;canadianelectropop
28;Johnny Otis;Head Hunter;0.842;0.923;-8.063;0;0.0527;0.00332;0.549;0.0808;123.006;298427;belgianpop
29;Foo Fighters;Hell;0.331;0.898;-2.83;1;0.0961;0.000871;0.0212;0.157;130.763;265000;groovemetal
30;Michael Jackson;HISTORY;0.428;0.64;-8.429;0;0.0398;0.0000988;0.895;0.22;128.067;266880;torontoindie
31;Metallica;Hit The Lights;0.266;0.972;-5.709;0;0.172;0.000118;0.118;0.108;160.543;257267;hardglam
32;Hot Chip;Hold On;0.65;0.654;-5.691;1;0.0374;0.0408;0.00000535;0.0903;128.007;200625;deepchill-out
